name	intensity-avg	volume
Left-Lateral-Ventricle	21.5573	8155.1
Left-Inf-Lat-Vent	38.7844	326.2
Left-Cerebellum-White-Matter	85.2963	12755.0
Left-Cerebellum-Cortex	54.4782	52615.8
Left-Thalamus-Proper	83.3247	5839.5
Left-Caudate	69.7309	3341.6
Left-Putamen	73.2367	4205.3
Left-Pallidum	92.9038	1395.3
3rd-Ventricle	31.1014	898.5
4th-Ventricle	21.9684	1674.0
Brain-Stem	84.2136	17451.6
Left-Hippocampus	58.6612	3776.5
Left-Amygdala	56.3837	1424.0
CSF	41.6219	929.8
Left-Accumbens-area	64.0163	534.7
Left-VentralDC	87.9589	3350.2
Left-vessel	45.0526	67.6
Left-choroid-plexus	46.1452	502.2
Right-Lateral-Ventricle	22.7669	7941.5
Right-Inf-Lat-Vent	27.1587	473.7
Right-Cerebellum-White-Matter	86.1758	10926.4
Right-Cerebellum-Cortex	54.2415	49858.3
Right-Thalamus-Proper	81.9011	5553.6
Right-Caudate	69.3987	3247.1
Right-Putamen	72.7917	4349.2
Right-Pallidum	93.3926	1337.3
Right-Hippocampus	56.2518	3840.0
Right-Amygdala	56.7725	1413.5
Right-Accumbens-area	64.9584	549.2
Right-VentralDC	88.3676	3357.1
Right-vessel	53.25	19.8
Right-choroid-plexus	46.3828	530.6
5th-Ventricle	0.0	0.0
WM-hypointensities	68.4546	1132.4
Left-WM-hypointensities	0.0	0.0
Right-WM-hypointensities	0.0	0.0
non-WM-hypointensities	81.0	1.7
Left-non-WM-hypointensities	0.0	0.0
Right-non-WM-hypointensities	0.0	0.0
Optic-Chiasm	73.6134	145.1
CC_Posterior	102.5286	731.3
CC_Mid_Posterior	90.4194	514.2
CC_Central	97.3878	354.8
CC_Mid_Anterior	100.8583	349.6
CC_Anterior	103.8768	698.3
