name	intensity-avg	volume
Left-Lateral-Ventricle	18.1786	7660.0
Left-Inf-Lat-Vent	34.378	375.5
Left-Cerebellum-White-Matter	86.2458	13375.7
Left-Cerebellum-Cortex	56.6769	55048.0
Left-Thalamus-Proper	79.3829	6634.0
Left-Caudate	66.8312	3640.0
Left-Putamen	74.6143	4763.4
Left-Pallidum	92.3484	1841.8
3rd-Ventricle	22.9917	1332.9
4th-Ventricle	21.4405	1603.7
Brain-Stem	83.1659	19385.0
Left-Hippocampus	55.3661	3855.0
Left-Amygdala	55.16	1451.8
CSF	29.8062	1215.1
Left-Accumbens-area	61.7219	488.7
Left-VentralDC	86.2082	3672.0
Left-vessel	44.8511	60.1
Left-choroid-plexus	46.2647	849.6
Right-Lateral-Ventricle	20.5658	6461.2
Right-Inf-Lat-Vent	27.1759	419.8
Right-Cerebellum-White-Matter	84.915	13352.0
Right-Cerebellum-Cortex	54.1977	54978.6
Right-Thalamus-Proper	80.1865	6329.6
Right-Caudate	66.3864	3552.1
Right-Putamen	73.6564	4709.3
Right-Pallidum	91.9978	1714.2
Right-Hippocampus	54.441	3948.3
Right-Amygdala	57.4409	1316.5
Right-Accumbens-area	61.8282	509.4
Right-VentralDC	86.4255	3689.2
Right-vessel	37.625	12.1
Right-choroid-plexus	45.9327	816.0
5th-Ventricle	0.0	0.0
WM-hypointensities	65.9158	703.0
Left-WM-hypointensities	0.0	0.0
Right-WM-hypointensities	0.0	0.0
non-WM-hypointensities	0.0	0.0
Left-non-WM-hypointensities	0.0	0.0
Right-non-WM-hypointensities	0.0	0.0
Optic-Chiasm	73.0127	196.8
CC_Posterior	100.5074	901.1
CC_Mid_Posterior	89.6281	477.4
CC_Central	92.8653	484.4
CC_Mid_Anterior	96.7065	648.7
CC_Anterior	104.2767	1021.9
