name	intensity-avg	volume
Left-Lateral-Ventricle	26.9803	3949.2
Left-Inf-Lat-Vent	43.2778	312.0
Left-Cerebellum-White-Matter	85.3901	13664.6
Left-Cerebellum-Cortex	56.5772	50425.3
Left-Thalamus-Proper	81.7273	7051.0
Left-Caudate	70.2306	3986.4
Left-Putamen	75.9912	5482.3
Left-Pallidum	94.4043	1892.5
3rd-Ventricle	33.0643	762.3
4th-Ventricle	22.1208	1816.8
Brain-Stem	83.1294	19319.0
Left-Hippocampus	60.2053	4053.9
Left-Amygdala	58.4024	1429.3
CSF	33.0255	962.2
Left-Accumbens-area	65.0396	763.5
Left-VentralDC	88.4628	3998.3
Left-vessel	49.1628	49.0
Left-choroid-plexus	53.6593	590.6
Right-Lateral-Ventricle	26.9392	3879.6
Right-Inf-Lat-Vent	32.7593	358.0
Right-Cerebellum-White-Matter	85.1391	13167.4
Right-Cerebellum-Cortex	54.9918	50671.0
Right-Thalamus-Proper	81.8073	7005.9
Right-Caudate	70.9652	4009.6
Right-Putamen	75.6415	5364.0
Right-Pallidum	92.9913	1853.4
Right-Hippocampus	58.9724	3690.3
Right-Amygdala	59.2205	1488.9
Right-Accumbens-area	66.48100000000001	786.8
Right-VentralDC	87.7147	3857.4
Right-vessel	38.5294	25.9
Right-choroid-plexus	50.8774	463.2
5th-Ventricle	0.0	0.0
WM-hypointensities	65.1336	841.3
Left-WM-hypointensities	0.0	0.0
Right-WM-hypointensities	0.0	0.0
non-WM-hypointensities	0.0	0.0
Left-non-WM-hypointensities	0.0	0.0
Right-non-WM-hypointensities	0.0	0.0
Optic-Chiasm	73.2193	135.3
CC_Posterior	104.2124	975.9
CC_Mid_Posterior	95.2539	465.8
CC_Central	95.1022	686.2
CC_Mid_Anterior	96.6067	637.5
CC_Anterior	104.4158	953.7
