name	intensity-avg	volume
Left-Lateral-Ventricle	20.6715	11918.5
Left-Inf-Lat-Vent	35.8726	697.8
Left-Cerebellum-White-Matter	83.9753	18260.0
Left-Cerebellum-Cortex	57.1365	73250.1
Left-Thalamus-Proper	84.3885	7888.3
Left-Caudate	71.6862	3976.8
Left-Putamen	78.3268	4869.2
Left-Pallidum	95.5995	2090.7
3rd-Ventricle	28.6204	1040.0
4th-Ventricle	19.475	2569.4
Brain-Stem	82.605	25612.8
Left-Hippocampus	60.7152	4205.8
Left-Amygdala	56.6465	1576.1
CSF	38.778	865.0
Left-Accumbens-area	65.0427	767.2
Left-VentralDC	88.7685	4652.6
Left-vessel	56.3103	40.4
Left-choroid-plexus	44.1889	573.4
Right-Lateral-Ventricle	19.1998	11649.4
Right-Inf-Lat-Vent	35.7579	668.3
Right-Cerebellum-White-Matter	83.654	17691.6
Right-Cerebellum-Cortex	54.608999999999995	72585.3
Right-Thalamus-Proper	82.3706	7396.4
Right-Caudate	70.3031	3996.2
Right-Putamen	75.6908	4902.3
Right-Pallidum	94.4758	2094.9
Right-Hippocampus	58.5085	4143.5
Right-Amygdala	58.475	1614.7
Right-Accumbens-area	66.5856	644.9
Right-VentralDC	87.6477	4573.8
Right-vessel	44.5556	17.5
Right-choroid-plexus	45.3735	563.3
5th-Ventricle	0.0	0.0
WM-hypointensities	65.2243	1487.0
Left-WM-hypointensities	0.0	0.0
Right-WM-hypointensities	0.0	0.0
non-WM-hypointensities	36.8	4.7
Left-non-WM-hypointensities	0.0	0.0
Right-non-WM-hypointensities	0.0	0.0
Optic-Chiasm	70.9149	171.0
CC_Posterior	99.3167	889.0
CC_Mid_Posterior	89.1203	535.2
CC_Central	92.2551	450.7
CC_Mid_Anterior	96.6957	667.1
CC_Anterior	102.73100000000001	946.7
