name	intensity-avg	volume
Left-Lateral-Ventricle	26.5404	5790.9
Left-Inf-Lat-Vent	42.7033	301.3
Left-Cerebellum-White-Matter	86.5264	15494.1
Left-Cerebellum-Cortex	57.68600000000001	63583.7
Left-Thalamus-Proper	85.1751	7827.2
Left-Caudate	71.9471	3975.6
Left-Putamen	78.1856	5450.7
Left-Pallidum	95.3288	1996.5
3rd-Ventricle	35.7687	867.6
4th-Ventricle	21.3866	2153.7
Brain-Stem	84.7662	24060.4
Left-Hippocampus	62.685	4219.8
Left-Amygdala	58.83	1855.7
CSF	39.8648	1018.2
Left-Accumbens-area	64.7106	767.2
Left-VentralDC	90.2316	4548.0
Left-vessel	54.0	12.8
Left-choroid-plexus	49.6481	378.0
Right-Lateral-Ventricle	27.5749	4340.8
Right-Inf-Lat-Vent	33.3401	278.3
Right-Cerebellum-White-Matter	86.3801	14462.0
Right-Cerebellum-Cortex	56.5236	63017.0
Right-Thalamus-Proper	83.9014	7791.7
Right-Caudate	71.4548	3920.7
Right-Putamen	76.8519	5518.7
Right-Pallidum	93.9729	1884.6
Right-Hippocampus	60.2501	4359.4
Right-Amygdala	59.4033	1737.0
Right-Accumbens-area	65.4959	701.3
Right-VentralDC	89.2891	4499.4
Right-vessel	49.75	9.8
Right-choroid-plexus	49.7812	515.3
5th-Ventricle	0.0	0.0
WM-hypointensities	64.4387	1069.3
Left-WM-hypointensities	0.0	0.0
Right-WM-hypointensities	0.0	0.0
non-WM-hypointensities	0.0	0.0
Left-non-WM-hypointensities	0.0	0.0
Right-non-WM-hypointensities	0.0	0.0
Optic-Chiasm	67.0593	160.2
CC_Posterior	101.56200000000001	860.6
CC_Mid_Posterior	92.5596	658.0
CC_Central	96.7722	474.1
CC_Mid_Anterior	100.7153	514.0
CC_Anterior	102.8045	878.0
