name	intensity-avg	volume
Left-Lateral-Ventricle	23.2814	5195.1
Left-Inf-Lat-Vent	34.4635	504.8
Left-Cerebellum-White-Matter	83.5687	15506.2
Left-Cerebellum-Cortex	53.1553	68639.2
Left-Thalamus-Proper	80.2997	7439.7
Left-Caudate	64.6865	4080.2
Left-Putamen	72.0428	5791.3
Left-Pallidum	92.1633	2000.2
3rd-Ventricle	27.6452	872.5
4th-Ventricle	17.0257	2280.2
Brain-Stem	78.6908	25748.5
Left-Hippocampus	56.6908	4037.2
Left-Amygdala	55.621	1665.1
CSF	35.9834	815.8
Left-Accumbens-area	59.9905	730.7
Left-VentralDC	84.4575	4502.5
Left-vessel	48.0968	44.4
Left-choroid-plexus	48.2635	350.4
Right-Lateral-Ventricle	24.0	4034.7
Right-Inf-Lat-Vent	33.8904	329.3
Right-Cerebellum-White-Matter	83.1089	15405.4
Right-Cerebellum-Cortex	51.824	67690.1
Right-Thalamus-Proper	80.891	7691.1
Right-Caudate	64.6335	4255.2
Right-Putamen	71.0805	5570.1
Right-Pallidum	89.9065	2127.4
Right-Hippocampus	54.8022	4118.1
Right-Amygdala	54.3232	1696.7
Right-Accumbens-area	62.6878	692.7
Right-VentralDC	84.2381	4344.1
Right-vessel	40.0833	33.7
Right-choroid-plexus	50.2986	542.2
5th-Ventricle	0.0	0.0
WM-hypointensities	68.0862	1277.4
Left-WM-hypointensities	0.0	0.0
Right-WM-hypointensities	0.0	0.0
non-WM-hypointensities	0.0	0.0
Left-non-WM-hypointensities	0.0	0.0
Right-non-WM-hypointensities	0.0	0.0
Optic-Chiasm	64.4773	161.1
CC_Posterior	102.0318	868.5
CC_Mid_Posterior	94.2355	551.0
CC_Central	93.8174	558.4
CC_Mid_Anterior	97.5428	622.9
CC_Anterior	107.3692	822.7
