name	intensity-avg	volume
Left-Lateral-Ventricle	28.581	4832.3
Left-Inf-Lat-Vent	40.8269	304.1
Left-Cerebellum-White-Matter	86.3153	15724.4
Left-Cerebellum-Cortex	52.8141	61421.2
Left-Thalamus-Proper	83.6648	8371.9
Left-Caudate	69.887	4048.7
Left-Putamen	74.0035	5946.5
Left-Pallidum	93.1558	2185.9
3rd-Ventricle	34.0639	940.2
4th-Ventricle	20.4329	2268.4
Brain-Stem	83.7531	24962.7
Left-Hippocampus	60.1285	4434.0
Left-Amygdala	56.3657	1842.8
CSF	35.7586	1101.7
Left-Accumbens-area	62.5925	996.8
Left-VentralDC	88.3857	4739.8
Left-vessel	50.1936	40.7
Left-choroid-plexus	54.6271	386.9
Right-Lateral-Ventricle	25.2359	5539.7
Right-Inf-Lat-Vent	38.2825	215.5
Right-Cerebellum-White-Matter	85.5727	15608.6
Right-Cerebellum-Cortex	51.4213	59868.7
Right-Thalamus-Proper	81.4028	8215.7
Right-Caudate	68.0182	4565.4
Right-Putamen	73.3674	5979.6
Right-Pallidum	92.1226	2232.0
Right-Hippocampus	59.1235	4457.6
Right-Amygdala	56.9956	1756.2
Right-Accumbens-area	62.5466	791.9
Right-VentralDC	87.5874	4574.1
Right-vessel	57.1429	12.3
Right-choroid-plexus	50.3704	567.6
5th-Ventricle	0.0	0.0
WM-hypointensities	61.8131	1229.0
Left-WM-hypointensities	0.0	0.0
Right-WM-hypointensities	0.0	0.0
non-WM-hypointensities	0.0	0.0
Left-non-WM-hypointensities	0.0	0.0
Right-non-WM-hypointensities	0.0	0.0
Optic-Chiasm	70.1928	182.7
CC_Posterior	99.4404	1019.6
CC_Mid_Posterior	92.5836	573.3
CC_Central	91.2684	868.6
CC_Mid_Anterior	92.0505	737.1
CC_Anterior	103.2885	971.6
